INFO:root:Start SimCLR training for 200 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 184	Loss: 1.5938746929168701	Top1 accuracy: 66.2109375
DEBUG:root:Epoch: 185	Loss: 1.8007986545562744	Top1 accuracy: 63.4765625
DEBUG:root:Epoch: 186	Loss: 1.5279273986816406	Top1 accuracy: 67.578125
DEBUG:root:Epoch: 187	Loss: 1.7504154443740845	Top1 accuracy: 67.96875
DEBUG:root:Epoch: 188	Loss: 1.7163143157958984	Top1 accuracy: 68.5546875
DEBUG:root:Epoch: 189	Loss: 1.8559070825576782	Top1 accuracy: 67.7734375
DEBUG:root:Epoch: 190	Loss: 1.6250126361846924	Top1 accuracy: 64.6484375
DEBUG:root:Epoch: 191	Loss: 1.9269461631774902	Top1 accuracy: 62.3046875
DEBUG:root:Epoch: 192	Loss: 1.5570889711380005	Top1 accuracy: 64.453125
DEBUG:root:Epoch: 193	Loss: 1.6335499286651611	Top1 accuracy: 63.0859375
DEBUG:root:Epoch: 194	Loss: 2.039109945297241	Top1 accuracy: 67.1875
DEBUG:root:Epoch: 195	Loss: 1.7456536293029785	Top1 accuracy: 69.3359375
DEBUG:root:Epoch: 196	Loss: 1.6842252016067505	Top1 accuracy: 63.0859375
DEBUG:root:Epoch: 197	Loss: 1.6252347230911255	Top1 accuracy: 65.625
DEBUG:root:Epoch: 198	Loss: 1.665922999382019	Top1 accuracy: 62.890625
DEBUG:root:Epoch: 199	Loss: 1.7246545553207397	Top1 accuracy: 66.2109375
INFO:root:Training has finished.
INFO:root:Model checkpoint and metadata has been saved at runs/Dec08_11-48-11_midway3-0280.rcc.local.
